亲和美园 大产权 电梯房 可以贷款必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
青馨园，采光好，一室独单户型方正，看房联系,1室1厅 | 61.56平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,75万12,184元/平
视野开阔采光充足户型方正配套齐全出行方便适合居住,1室1厅 | 32平米 | 南 | 其他 | 高楼层(共6层) | 板楼,39万12,188元/平
青馨园，采光好，户型方正，看房联系,2室2厅 | 90.83平米 | 南 北 | 简装 | 高楼层(共6层) | 板楼,90万9,909元/平
好楼位西边户精装修三室改善优先拎包入住带家具家电,3室2厅 | 95.74平米 | 南 北 | 精装 | 低楼层(共7层) | 暂无数据,185万19,324元/平
保利和光尘樾，满二，南北通透户型，楼层好，看房随时,2室1厅 | 76.93平米 | 北 南 | 其他 | 低楼层(共18层) | 板楼,124万16,119元/平
李七庄 次新小区 金地三室带阳台洋房 业主诚心出售,3室1厅 | 97.46平米 | 南 北 | 其他 | 中楼层(共7层) | 板楼,165万16,931元/平
诚心出售，价格可议采光无遮挡随时看房,2室1厅 | 71.01平米 | 南 | 精装 | 高楼层(共24层) | 塔楼,58.5万8,239元/平
南向无遮挡 视野开阔 生活配套齐全 看房提前预约,3室2厅 | 79.22平米 | 南 北 | 精装 | 低楼层(共28层) | 板楼,195万24,615元/平
此房满五年唯一 带阁楼 全明户型楼层好视野宽采光好,3室2厅 | 86.04平米 | 南 北 | 精装 | 8层 | 板塔结合,125万14,529元/平
林溪园通透2居室 中高楼层 采光好 随时看房 诚心出售,1室1厅 | 63.71平米 | 南 | 其他 | 高楼层(共6层) | 板楼,105万16,481元/平
青馨园采光好 户型好 价格可议 诚信出售,2室1厅 | 94.69平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,95万10,033元/平
津门湖观景两居室，精装，低楼层,2室1厅 | 89.33平米 | 南 北 | 其他 | 低楼层(共31层) | 板楼,190万21,270元/平
亲和美园两室一厅电梯房中间楼层南北朝向采光好,2室1厅 | 73.08平米 | 南 | 毛坯 | 中楼层(共24层) | 板塔结合,59万8,074元/平
青吉里通透两居室 配套齐全 洋房四楼,2室1厅 | 84.07平米 | 南 | 其他 | 中楼层(共6层) | 板楼,68万8,089元/平
高楼层 视野好 商圈热门小区房源 业主诚心出售,3室1厅 | 91.53平米 | 南 北 | 精装 | 高楼层(共17层) | 板楼,120万13,111元/平
南北通透2室 户型方正，业主诚心卖,2室1厅 | 76.93平米 | 南 北 | 其他 | 低楼层(共18层) | 板楼,125万16,249元/平
美的旭辉瀚悦府洋房满两年7楼顶层采光视野好,3室1厅 | 142.2平米 | 南 | 毛坯 | 7层 | 板塔结合,282万19,832元/平
佳和雅庭中间楼层，精装修 66平 诚心出售,2室1厅 | 65.92平米 | 东 南 北 | 精装 | 中楼层(共24层) | 板楼,60万9,102元/平
南站精装好房急售！！！ 配套齐全生活便利,2室2厅 | 92.73平米 | 南 北 | 简装 | 低楼层(共17层) | 板楼,139万14,990元/平
精装修，H两居加储藏间，南北通透带阳台，诚心卖,2室1厅 | 90.89平米 | 南 北 | 精装 | 高楼层(共17层) | 板楼,119.5万13,148元/平
距离天津南站800米左右的公园社区 五大静音体系住宅,2室2厅 | 86.98平米 | 南 北 | 其他 | 21层 | 板塔结合,155万17,821元/平
贝壳金选 中北镇万科翡翠嘉和 一楼带院 精装三室,3室1厅 | 114.3平米 | 南 北 | 精装 | 11层 | 板楼,410万35,871元/平
洋房，次顶层，户型方正没有浪费面积，边户，三室双卫,3室2厅 | 117.58平米 | 南 | 毛坯 | 7层 | 板塔结合,238万20,242元/平
店长推荐 精装修 全屋环保好材料 实用面积1.35倍,4室2厅 | 152.22平米 | 南 北 | 精装 | 中楼层(共4层) | 板楼,380万24,964元/平
精装修，明厨明卫，采光好，看房方便，阳面客厅房主自荐,2室1厅 | 87.2平米 | 南 北 | 其他 | 低楼层(共17层) | 板楼,109.5万12,558元/平
雅庭电梯房 满五唯一 精装 无抵押 诚心出售,2室1厅 | 71.01平米 | 南 | 其他 | 高楼层(共24层) | 塔楼,56万7,887元/平
满五年，一手业主，电梯大两室H通透房,2室1厅 | 103.13平米 | 南 北 | 简装 | 低楼层(共10层) | 板楼,189万18,327元/平
水岸华庭精装修带阁楼 价格好商量,1室1厅 | 54.96平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,73万13,283元/平
中交悦公馆 通透大三室 过两年 泰达物业 看房方便,3室1厅 | 125平米 | 南 北 | 毛坯 | 11层 | 板塔结合,220万17,600元/平
中交樾公馆，带阁楼，全明户型，采光好，看房方便,2室1厅 | 82.95平米 | 南 北 | 毛坯 | 15层 | 板塔结合,175万21,098元/平
出售亲和美园一楼一楼精装自住保养好,2室1厅 | 73.01平米 | 南 | 精装 | 低楼层(共24层) | 板塔结合,78万10,684元/平
【店长推荐】南开户口、低楼层精装修三居室、楼间距大,3室1厅 | 93.38平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,220万23,560元/平
青馨园 采光好 户型方正 看房联系，大包出,2室1厅 | 92.76平米 | 南 北 东 | 其他 | 中楼层(共6层) | 板楼,130万14,015元/平
青馨园 南北通透 1楼 落地窗，价格可议,2室1厅 | 92.54平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,139万15,021元/平
南开籍 低楼层出行方便 看房随时,2室1厅 | 76.17平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,137万17,987元/平
空中别墅,4跃5跃6,有露台,有阁楼,有钢琴室,有工作室,4室4厅 | 204.67平米 | 南 北 | 其他 | 高楼层(共4层) | 板楼,380万18,567元/平
业主急售,全明户型 采光好 小区位置佳,2室1厅 | 91.53平米 | 南 北 | 简装 | 高楼层(共17层) | 板楼,101万11,035元/平
洋房带露台 近8号线 诚心出售 价格可议,2室2厅 | 73.13平米 | 南 | 精装 | 高楼层(共6层) | 板楼,98万13,401元/平
此房满5唯一，俩室带独立餐厅，户型通透，明厨明卫,2室2厅 | 92.86平米 | 南 | 其他 | 低楼层(共6层) | 板楼,160万17,231元/平
万科翡翠紫台精装三室洋房 诚意卖 看房方便 有车位,3室2厅 | 126.27平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,330万26,135元/平
南苑洋房，通透格局，楼层好，视野宽阔，采光充足,3室1厅 | 93.36平米 | 南 | 其他 | 中楼层(共7层) | 塔楼,185万19,816元/平
精装修，通透户型，交通便利，楼层采光好，诚心出售房主自荐,2室1厅 | 90.67平米 | 南 北 | 其他 | 中楼层(共18层) | 板楼,136万15,000元/平
外环旁，次新小区，绿城物业，中间楼层,3室2厅 | 104.48平米 | 南 北 | 其他 | 中楼层(共11层) | 板楼,200万19,143元/平
精装修，位置好，价格便宜，欢迎看房,1室1厅 | 63.72平米 | 南 | 精装 | 低楼层(共22层) | 板塔结合,68万10,672元/平
金地三期 好楼层好位置 不临街 业主急售,2室1厅 | 81.46平米 | 南 | 精装 | 18层 | 板楼,115万14,118元/平
建姜西里 阳面一室 环内低楼层，邻在建D铁8号线500米,1室1厅 | 43.95平米 | 南 | 精装 | 低楼层(共6层) | 板楼,82万18,658元/平
景园里 1室1厅 东 西,1室1厅 | 48.77平米 | 东 西 | 其他 | 中楼层(共6层) | 板楼,72万14,764元/平
旭辉精装修两室，中间层，满五年，业主诚心卖,2室1厅 | 83.27平米 | 南 | 简装 | 中楼层(共27层) | 板楼,115万13,811元/平
运河水畔花园洋房 楼层佳 采光好 精装修 有地下车位,3室2厅 | 124.44平米 | 南 北 | 其他 | 11层 | 板楼,315万25,314元/平
此房为温馨大两居室，带电梯，采光明亮，业主诚意卖,2室1厅 | 93.96平米 | 南 北 | 简装 | 18层 | 板楼,84.5万8,994元/平
业主诚心出售，电梯房，南北通透，视野好，前排无遮挡,2室1厅 | 93.6平米 | 南 北 | 其他 | 高楼层(共11层) | 板楼,135万14,424元/平
聚贤里三室两厅两卫 地下室 家具家电 全有,3室1厅 | 144.7平米 | 南 北 | 精装 | 中楼层(共5层) | 板楼,239万16,517元/平
君悦花苑洋房 位置好 三室两卫H户型 配套成熟,3室2厅 | 136.94平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,258万18,841元/平
店长力推 燕南园三室 位置好 业主诚心出售,3室1厅 | 95.38平米 | 南 北 | 简装 | 低楼层(共18层) | 板楼,145万15,203元/平
旭辉三期精装修洋房一梯两户好楼层满五唯一地下大车位,3室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共11层) | 板楼,150万16,130元/平
水西边户别墅 房本355㎡ 院2百多 双车库有地下室阁楼房主自荐,6室3厅 | 354.53平米 | 南 北 西 | 简装 | 3层 | 板楼 | 联排别墅,965万27,220元/平
澜湾花园 洋房3居室 带地下车位 看房方便,3室2厅 | 129.06平米 | 北 南 | 其他 | 中楼层(共6层) | 板楼,252万19,526元/平
房子采光视野无遮挡，通地库，有钥匙随时可以看房,3室2厅 | 116.19平米 | 北 南 | 毛坯 | 高楼层(共7层) | 板楼,218.8万18,832元/平
洋房两室，标准H户型，通风效果好，采光好,2室1厅 | 93.52平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,108万11,549元/平
中北镇 带阁楼 精装修 停车位充足 南向 无遮挡,2室1厅 | 76.91平米 | 南 | 其他 | 高楼层(共18层) | 板楼,125万16,253元/平
万科小高层，中间楼层，满五唯一，位置好,2室1厅 | 73.75平米 | 南 | 其他 | 高楼层(共16层) | 板楼,155万21,017元/平
满五年， 格局规则，中间位置 小区环境安静优美。,3室2厅 | 138.09平米 | 南 北 | 精装 | 高楼层(共5层) | 板楼,225万16,294元/平
南北户型，边户，高品质小区。半人车分流。自持物业,3室2厅 | 88.91平米 | 南 | 简装 | 低楼层(共11层) | 板楼,110万12,373元/平
深宅大院，门外尽享繁华，门内世外桃源 精装修,5室3厅 | 222.18平米 | 南 北 | 其他 | 中楼层(共4层) | 板楼,650万29,256元/平
满五中间楼层业主自住，能看湖，楼层很好，采光也好,2室1厅 | 89.76平米 | 南 | 其他 | 32层 | 板塔结合,238万26,516元/平
大寺新家园刚需小两室。价格合适，看房随时，有钥匙,2室1厅 | 65.9平米 | 南 | 毛坯 | 高楼层(共28层) | 塔楼,52万7,891元/平
旭辉燕南园 三室 中间楼层 精装拎包入住,3室1厅 | 95.02平米 | 南 北 | 其他 | 中楼层(共21层) | 板楼,148万15,576元/平
精装 一室 价格低 户型方正,1室1厅 | 66.48平米 | 南 北 | 其他 | 低楼层(共18层) | 板楼,60万9,026元/平
4期中间位置房型为南北大三居全屋通透明,3室1厅 | 132.81平米 | 南 | 精装 | 中楼层(共7层) | 板楼,293万22,062元/平
旭辉御府 二期 88平米两室 业主精致装修 保持的好,2室1厅 | 88.2平米 | 北 南 | 精装 | 中楼层(共30层) | 板楼,130万14,740元/平
小院视野好、环境安静、看房方便,2室2厅 | 90.68平米 | 南 | 精装 | 中楼层(共18层) | 板楼,145万15,991元/平
依润园 2室1厅 南,2室1厅 | 65.52平米 | 南 | 精装 | 低楼层(共28层) | 板楼,110万16,789元/平
云锦世家郦景园 四期洋房次新房 看房随时方便,2室2厅 | 91.91平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,180万19,585元/平
南北户型好，婚房装修，顶楼带阁楼，满五唯,3室2厅 | 89.37平米 | 南 | 精装 | 高楼层(共9层) | 板楼,265万29,653元/平
正荣三居，精装修，南北通透，拎包入住,3室2厅 | 94.15平米 | 南 北 | 精装 | 中楼层(共26层) | 板楼,230万24,430元/平
此房在较好楼栋位置，中间楼层采光好，视野好。房主自荐,3室2厅 | 147.52平米 | 南 | 毛坯 | 中楼层(共18层) | 板楼,425万28,810元/平
南北通透三居，全明户型，全天都有采光,3室2厅 | 90.26平米 | 南 北 | 其他 | 中楼层(共18层) | 板楼,195万21,605元/平
深宅大院，门外尽享繁华，门内世外桃源 精装修,5室3厅 | 222.18平米 | 南 北 | 其他 | 中楼层(共4层) | 板楼,650万29,256元/平
满五年， 格局规则，中间位置 小区环境安静优美。,3室2厅 | 138.09平米 | 南 北 | 精装 | 高楼层(共5层) | 板楼,225万16,294元/平
万科小高层，中间楼层，满五唯一，位置好,2室1厅 | 73.75平米 | 南 | 其他 | 高楼层(共16层) | 板楼,155万21,017元/平
青馨园，采光好，一室独单户型方正，看房联系,1室1厅 | 61.56平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,75万12,184元/平
青吉里 ，一楼户型方正，配套全,2室1厅 | 77.96平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,94万12,058元/平
瑞泰里边户,精装修位置好,楼层好,南北通透,停车免费,2室1厅 | 89.79平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,133万14,813元/平
大学城旁，精装两居，小区好位置，视野开阔，可小刀,2室2厅 | 90.11平米 | 南 | 其他 | 中楼层(共21层) | 板楼,75万8,324元/平
保利和光尘樾，满二，南北通透户型，楼层好，看房随时,2室1厅 | 76.93平米 | 北 南 | 其他 | 低楼层(共18层) | 板楼,124万16,119元/平
李七庄 次新小区 金地三室带阳台洋房 业主诚心出售,3室1厅 | 97.46平米 | 南 北 | 其他 | 中楼层(共7层) | 板楼,165万16,931元/平
美的旭辉瀚悦府洋房满两年7楼顶层采光视野好,3室1厅 | 142.2平米 | 南 | 毛坯 | 7层 | 板塔结合,282万19,832元/平
精装修，明厨明卫，采光好，看房方便，阳面客厅房主自荐,2室1厅 | 87.2平米 | 南 北 | 其他 | 低楼层(共17层) | 板楼,109.5万12,558元/平
店长推荐 精装修 全屋环保好材料 实用面积1.35倍,4室2厅 | 152.22平米 | 南 北 | 精装 | 中楼层(共4层) | 板楼,380万24,964元/平
贝壳金选 中北镇万科翡翠嘉和 一楼带院 精装三室,3室1厅 | 114.3平米 | 南 北 | 精装 | 11层 | 板楼,410万35,871元/平
视野开阔采光充足户型方正配套齐全出行方便适合居住,1室1厅 | 32平米 | 南 | 其他 | 高楼层(共6层) | 板楼,39万12,188元/平
澜湾花园 洋房3居室 带地下车位 看房方便,3室2厅 | 129.06平米 | 北 南 | 其他 | 中楼层(共6层) | 板楼,252万19,526元/平
高楼层 视野好 商圈热门小区房源 业主诚心出售,3室1厅 | 91.53平米 | 南 北 | 精装 | 高楼层(共17层) | 板楼,120万13,111元/平
水岸华庭精装修带阁楼 价格好商量,1室1厅 | 54.96平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,73万13,283元/平
满五年，一手业主，电梯大两室H通透房,2室1厅 | 103.13平米 | 南 北 | 简装 | 低楼层(共10层) | 板楼,189万18,327元/平
金盛园 低楼层改善三室 简装房装修方便 采光好有钥匙,3室2厅 | 112.6平米 | 南 | 其他 | 中楼层(共5层) | 板楼,178万15,809元/平
雅庭电梯房 满五唯一 精装 无抵押 诚心出售,2室1厅 | 71.01平米 | 南 | 其他 | 高楼层(共24层) | 塔楼,56万7,887元/平
空中别墅,4跃5跃6,有露台,有阁楼,有钢琴室,有工作室,4室4厅 | 204.67平米 | 南 北 | 其他 | 高楼层(共4层) | 板楼,380万18,567元/平
精装修，H两居加储藏间，南北通透带阳台，诚心卖,2室1厅 | 90.89平米 | 南 北 | 精装 | 高楼层(共17层) | 板楼,119.5万13,148元/平
诚心出售，价格可议采光无遮挡随时看房,2室1厅 | 71.01平米 | 南 | 精装 | 高楼层(共24层) | 塔楼,58.5万8,239元/平
青馨园 南北通透 1楼 落地窗，价格可议,2室1厅 | 92.54平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,139万15,021元/平
青馨园，采光好，户型方正，看房联系,2室2厅 | 90.83平米 | 南 北 | 简装 | 高楼层(共6层) | 板楼,90万9,909元/平
青馨园 采光好 户型方正 看房联系，大包出,2室1厅 | 92.76平米 | 南 北 东 | 其他 | 中楼层(共6层) | 板楼,130万14,015元/平
洋房，次顶层，户型方正没有浪费面积，边户，三室双卫,3室2厅 | 117.58平米 | 南 | 毛坯 | 7层 | 板塔结合,238万20,242元/平
中北镇 带阁楼 精装修 停车位充足 南向 无遮挡,2室1厅 | 76.91平米 | 南 | 其他 | 高楼层(共18层) | 板楼,125万16,253元/平
洋房两室，标准H户型，通风效果好，采光好,2室1厅 | 93.52平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,108万11,549元/平
中交悦公馆 通透大三室 过两年 泰达物业 看房方便,3室1厅 | 125平米 | 南 北 | 毛坯 | 11层 | 板塔结合,220万17,600元/平
中交樾公馆，带阁楼，全明户型，采光好，看房方便,2室1厅 | 82.95平米 | 南 北 | 毛坯 | 15层 | 板塔结合,175万21,098元/平
好楼位西边户精装修三室改善优先拎包入住带家具家电,3室2厅 | 95.74平米 | 南 北 | 精装 | 低楼层(共7层) | 暂无数据,185万19,324元/平
佳和雅庭中间楼层，精装修 66平 诚心出售,2室1厅 | 65.92平米 | 东 南 北 | 精装 | 中楼层(共24层) | 板楼,60万9,102元/平
保利开发 宽厅两室 业主诚心出售 价格可小议,2室1厅 | 80.64平米 | 南 | 简装 | 高楼层(共18层) | 板楼,150万18,602元/平
凯信佳园一室 户型方正 出行便利 配套设施齐全急售,1室1厅 | 70.07平米 | 南 北 | 其他 | 中楼层(共6层) | 板楼,119万16,984元/平
南向无遮挡 视野开阔 生活配套齐全 看房提前预约,3室2厅 | 79.22平米 | 南 北 | 精装 | 低楼层(共28层) | 板楼,195万24,615元/平
南站精装好房急售！！！ 配套齐全生活便利,2室2厅 | 92.73平米 | 南 北 | 简装 | 低楼层(共17层) | 板楼,139万14,990元/平
南开籍 低楼层出行方便 看房随时,2室1厅 | 76.17平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,137万17,987元/平
业主急售,全明户型 采光好 小区位置佳,2室1厅 | 91.53平米 | 南 北 | 简装 | 高楼层(共17层) | 板楼,101万11,035元/平
南北通透2室 户型方正，业主诚心卖,2室1厅 | 76.93平米 | 南 北 | 其他 | 低楼层(共18层) | 板楼,125万16,249元/平
林溪园通透2居室 中高楼层 采光好 随时看房 诚心出售,1室1厅 | 63.71平米 | 南 | 其他 | 高楼层(共6层) | 板楼,105万16,481元/平
青馨园采光好 户型好 价格可议 诚信出售,2室1厅 | 94.69平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,95万10,033元/平
亲和美园两室一厅电梯房中间楼层南北朝向采光好,2室1厅 | 73.08平米 | 南 | 毛坯 | 中楼层(共24层) | 板塔结合,59万8,074元/平
津门湖观景两居室，精装，低楼层,2室1厅 | 89.33平米 | 南 北 | 其他 | 低楼层(共31层) | 板楼,190万21,270元/平
青吉里通透两居室 配套齐全 洋房四楼,2室1厅 | 84.07平米 | 南 | 其他 | 中楼层(共6层) | 板楼,68万8,089元/平
聚贤里三室两厅两卫 地下室 家具家电 全有,3室1厅 | 144.7平米 | 南 北 | 精装 | 中楼层(共5层) | 板楼,239万16,517元/平
水西边户别墅 房本355㎡ 院2百多 双车库有地下室阁楼房主自荐,6室3厅 | 354.53平米 | 南 北 西 | 简装 | 3层 | 板楼 | 联排别墅,965万27,220元/平
景园里 1室1厅 东 西,1室1厅 | 48.77平米 | 东 西 | 其他 | 中楼层(共6层) | 板楼,72万14,764元/平
君悦花苑洋房 位置好 三室两卫H户型 配套成熟,3室2厅 | 136.94平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,258万18,841元/平
运河水畔花园洋房 楼层佳 采光好 精装修 有地下车位,3室2厅 | 124.44平米 | 南 北 | 其他 | 11层 | 板楼,315万25,314元/平
旭辉精装修两室，中间层，满五年，业主诚心卖,2室1厅 | 83.27平米 | 南 | 简装 | 中楼层(共27层) | 板楼,115万13,811元/平
此房满五年唯一 带阁楼 全明户型楼层好视野宽采光好,3室2厅 | 86.04平米 | 南 北 | 精装 | 8层 | 板塔结合,125万14,529元/平
次顶层 自住装修 满五唯一,3室1厅 | 91.53平米 | 南 | 其他 | 高楼层(共17层) | 板楼,117万12,783元/平
满五中间楼层业主自住，能看湖，楼层很好，采光也好,2室1厅 | 89.76平米 | 南 | 其他 | 32层 | 板塔结合,238万26,516元/平
大寺新家园刚需小两室。价格合适，看房随时，有钥匙,2室1厅 | 65.9平米 | 南 | 毛坯 | 高楼层(共28层) | 塔楼,52万7,891元/平
【店长推荐】南开户口、低楼层精装修三居室、楼间距大,3室1厅 | 93.38平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,220万23,560元/平
出售亲和美园一楼一楼精装自住保养好,2室1厅 | 73.01平米 | 南 | 精装 | 低楼层(共24层) | 板塔结合,78万10,684元/平
小区环境优美 配套齐全 动静分离 布局合理 看房方便,3室1厅 | 102.37平米 | 南 北 | 其他 | 15层 | 板塔结合,153万14,946元/平
万科四季文园 3室2厅 南,3室2厅 | 89.77平米 | 南 | 精装 | 中楼层(共8层) | 板塔结合,160万17,824元/平
保利和光尘樾 宽厅结构 房型好 位置棒 楼层好,3室1厅 | 114.01平米 | 南 北 | 毛坯 | 中楼层(共18层) | 板楼,245万21,490元/平
家泰里婚房装修价格诚心出售采光好随时可看,2室1厅 | 91.68平米 | 南 北 | 其他 | 中楼层(共18层) | 板塔结合,98万10,690元/平
瑞民里 精装两室两厅中间楼层业主诚心出售价格能谈,2室1厅 | 99.36平米 | 南 北 | 精装 | 中楼层(共9层) | 板楼,136万13,688元/平
西西里精装两室 满五唯一少个税 看房方便房主诚心卖,2室1厅 | 96.21平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,90万9,355元/平
河西贰片中芯小壆 东湖 私产满五唯一阳面大一室有装修,1室1厅 | 53.8平米 | 南 | 简装 | 中楼层(共6层) | 板楼,128.5万23,885元/平
中间层，近地铁，户型方正，采光视野好,1室1厅 | 69.96平米 | 南 北 | 精装 | 低楼层(共26层) | 板楼,85万12,150元/平
瑞民里 两室两厅 过五年 诚心卖 免费停车,2室2厅 | 99平米 | 南 北 | 简装 | 低楼层(共11层) | 板楼,122万12,324元/平
店长力荐 精装 全明 三居 中间楼层 精装 业主诚心出售,3室1厅 | 112.35平米 | 南 北 | 精装 | 中楼层(共7层) | 板楼,219万19,493元/平
配套齐全，一楼通透两室，满五唯一无个税，出房率高房主自荐,2室1厅 | 89.5平米 | 南 北 | 简装 | 低楼层(共7层) | 板楼,172万19,218元/平
建姜西里 全阳一室 采光很好 洋房出房率高房主自荐,1室1厅 | 43.95平米 | 南 | 简装 | 中楼层(共6层) | 板楼,46万10,467元/平
李七庄 金地 一室户型 适合老人居住,1室1厅 | 66.77平米 | 南 北 | 其他 | 低楼层(共15层) | 板楼,118万17,673元/平
房龄新 满五年 交通方便 总价低 私产房 可贷款,2室1厅 | 73平米 | 南 | 简装 | 低楼层(共28层) | 板楼,85万11,644元/平
兴旺里 大中单 双阳台 业主诚心出售 可议价,2室1厅 | 44.38平米 | 南 | 简装 | 中楼层(共4层) | 板楼,50万11,267元/平
总房款低 成熟片区 顶层带大露台 业主诚心出售,2室1厅 | 64.55平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,66万10,225元/平
采光好，楼层好，出行方便，配套全，业主诚心卖,1室1厅 | 60.62平米 | 南 北 | 精装 | 低楼层(共4层) | 板楼,59万9,733元/平
此房出清华学子，高考学子的必选好房，期待有缘的你,3室1厅 | 100.01平米 | 南 | 精装 | 26层 | 板楼,200万19,999元/平
业主诚心出售 价格可议 新装修两年保持的好,1室1厅 | 54.34平米 | 南 | 其他 | 低楼层(共6层) | 板楼,135万24,844元/平
人和院 顶楼带阁楼 低密度小区 诚心出售,3室2厅 | 77.74平米 | 南 北 | 其他 | 高楼层(共5层) | 板楼,170万21,868元/平
房源：采光好，出行方便，配套齐全,3室1厅 | 126.54平米 | 南 北 | 其他 | 5层 | 板楼,189.8万15,000元/平
中间楼层 视野好 看房方便 通车库 诚心出售,3室1厅 | 87平米 | 南 | 其他 | 中楼层(共15层) | 板楼,122万14,023元/平
跃层精装修、价格美丽、视野采光好、少有,3室2厅 | 140.77平米 | 南 | 精装 | 高楼层(共6层) | 板楼,215万15,274元/平
海逸长洲恋海园 小区楼间距大 房子开间大 视野好,3室2厅 | 197.95平米 | 南 | 其他 | 高楼层(共24层) | 板楼,500万25,259元/平
：房子采光很好，海逸大平层，中间位置,4室2厅 | 237.52平米 | 南 | 精装 | 低楼层(共26层) | 板楼,760万31,998元/平
静溪园别墅区 边户 精装修 带电梯 满五唯一,5室1厅 | 188.96平米 | 南 北 | 精装 | 低楼层(共3层) | 板楼,700万37,045元/平
H户型，三室使用面积大，次卧楼上都不算面积房主自荐,3室1厅 | 80.82平米 | 南 | 精装 | 低楼层(共18层) | 板楼,145万17,942元/平
格调松间 两梯两户三室 满两年 有钥匙随时看,3室1厅 | 128.36平米 | 南 北 | 毛坯 | 低楼层(共18层) | 板楼,299万23,294元/平
南北通透，一楼带小院，地理位置好，不临街,1室1厅 | 63.75平米 | 南 北 | 简装 | 低楼层(共18层) | 板楼,103万16,157元/平
九区好房，精装修，满五唯一税费低，业主诚意出售,1室1厅 | 56.69平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,72万12,701元/平
溪悦园全阳面一室，中间楼层，环境好,1室1厅 | 59.62平米 | 南 | 简装 | 中楼层(共24层) | 板楼,65万10,903元/平
地铁八号线旁 电梯大两居室 满五唯一 出行方便,2室1厅 | 94.89平米 | 南 北 | 简装 | 低楼层(共18层) | 板楼,165万17,389元/平
采光充足 房子保持很好 带车位,3室1厅 | 115.89平米 | 南 北 | 精装 | 中楼层(共5层) | 板塔结合,205万17,690元/平
中医一附院旁 恒祥佳园 中间楼层 采光无遮挡 交通便利,1室1厅 | 70.19平米 | 南 | 其他 | 中楼层(共26层) | 暂无数据,88万12,538元/平
摩卡H户型 南北通透 中间位置 电梯洋房,2室1厅 | 95.98平米 | 南 北 | 其他 | 11层 | 板楼,139万14,483元/平
旭辉御府 精装修三室两卫 好楼层 诚心出售,3室2厅 | 122.62平米 | 南 北 | 精装 | 中楼层(共30层) | 塔楼,190万15,496元/平
花溪苑 洋房经典一室 精装修 业主诚心出售,1室1厅 | 58.04平米 | 南 | 其他 | 中楼层(共6层) | 塔楼,98万16,885元/平
云锦世家 电梯洋房3楼 精装修 业主诚心出售,2室2厅 | 91.42平米 | 南 北 | 精装 | 低楼层(共9层) | 板楼,189万20,674元/平
云锦世家 电梯洋房 南北通透 带阁楼,4室2厅 | 103.6平米 | 南 北 | 精装 | 高楼层(共7层) | 板楼,339万32,723元/平
旭辉御府二期顶层有阁楼 精装修 采光好使用面积大,2室2厅 | 83.14平米 | 南 北 | 其他 | 高楼层(共28层) | 板楼,185万22,252元/平
旭辉三期精装大两居，采光视野好,2室1厅 | 88.58平米 | 南 | 精装 | 中楼层(共27层) | 板楼,153万17,273元/平
三期不临高铁 采光视野好 家具家电打包出售 诚意出售房主自荐,3室1厅 | 92.77平米 | 南 北 | 精装 | 高楼层(共24层) | 板楼,150万16,170元/平
不临高铁 中间楼层 诚意出售 看房方便,2室1厅 | 83.14平米 | 南 | 毛坯 | 中楼层(共28层) | 板楼,120万14,434元/平
格调松间精装2室 看房方便 业主诚意卖 拎包入住,2室1厅 | 98.56平米 | 南 北 | 其他 | 中楼层(共26层) | 板楼,210万21,307元/平
经典全明格局 视野宽阔 采光充足 配套设施齐全,2室1厅 | 63.64平米 | 东 | 其他 | 低楼层(共18层) | 板楼,85万13,357元/平
店长推荐 户型方正 采光无遮挡 临公园,1室1厅 | 53.99平米 | 南 | 简装 | 高楼层(共6层) | 板楼,133万24,635元/平
欧式全屋定制 通透全明 东边户 直通车库 地下大车位,3室2厅 | 122.25平米 | 南 | 精装 | 低楼层(共30层) | 板楼,210万17,178元/平
香锦园 2室2厅 南,2室2厅 | 89.67平米 | 南 | 其他 | 高楼层(共11层) | 板楼,120万13,383元/平
碧湖园精装带露台，露台已封，使用面积大，采光无遮挡,2室1厅 | 74.59平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,160万21,451元/平
